drug_name,Name,receptor,Actions,Gene Name,Pharmacological action,potency,family,symbol,show_text,Ki,Ki_min,Ki_max,Kind,weight,comment
Lithium,Glycogen synthase kinase-3 beta,Glycogen synthase kinase-3 beta,Inhibitor,GSK3B,Unknown,NA,GSK,⮽,"Constitutively active protein kinase that acts as a negative
regulator in the hormonal control of glucose homeostasis,
Wnt signaling and regulation of transcription factors and
microtubules, by phosphorylating and inactivating glycogen
synthase (GYS1 or GYS2), EIF2B, CTNNB1/beta-catenin, APC,
AXIN1, DPYSL2/CRMP2, JUN, NFATC1/NFATC, MAPT/TAU and MACF1.
Requires primed phosphorylation of the majority of its
substrates. In skeletal muscle, contributes to insulin
regulation of glycogen synthesis by phosphorylating and
inhibiting GYS1 activity and hence glycogen synthesis.
May also mediate the development of insulin resistance by
regulating activation of transcription factors. Regulates
protein synthesis by controlling the activity of initiation
factor 2B (EIF2BE/EIF2B5) in the same manner as glycogen
synthase. In Wnt signaling, GSK3B forms a multimeric complex
with APC, AXIN1 and CTNNB1/beta-catenin and phosphorylates
the N-terminus of CTNNB1 leading to its degradation mediated
by ubiquitin/proteasomes. Phosphorylates JUN at sites
proximal to its DNA-binding domain, thereby reducing its
affinity for DNA. Phosphorylates NFATC1/NFATC on conserved
serine residues promoting NFATC1/NFATC nuclear export,
shutting off NFATC1/NFATC gene regulation, and thereby
opposing the action of calcineurin. Phosphorylates MAPT/TAU
on 'Thr-548', decreasing significantly MAPT/TAU ability to
bind and stabilize microtubules. MAPT/TAU is the principal
component of neurofibrillary tangles in Alzheimer disease.
Plays an important role in ERBB2-dependent stabilization
of microtubules at the cell cortex. Phosphorylates MACF1,
inhibiting its binding to microtubules which is critical
for its role in bulge stem cell migration and skin wound
repair. Probably regulates NF-kappa-B (NFKB1) at the
transcriptional level and is required for the NF-kappa-B-
mediated anti-apoptotic response to TNF-alpha (TNF/TNFA).
Negatively regulates replication in pancreatic beta-cells,
resulting in apoptosis, loss of beta-cells and diabetes.
Through phosphorylation of the anti-apoptotic protein MCL1,
may control cell apoptosis in response to growth factors
deprivation. Phosphorylates MUC1 in breast cancer cells,
decreasing the interaction of MUC1 with CTNNB1/beta-catenin.
Is necessary for the establishment of neuronal polarity and
axon outgrowth. Phosphorylates MARK2, leading to inhibit
its activity. Phosphorylates SIK1 at 'Thr-182', leading to
sustain its activity. Phosphorylates ZC3HAV1 which enhances
its antiviral activity. Phosphorylates SNAI1, leading to its
BTRC-triggered ubiquitination and proteasomal degradation.
Phosphorylates SFPQ at 'Thr-687' upon T-cell activation.
Phosphorylates NR1D1 st 'Ser-55' and 'Ser-59' and stabilizes
it by protecting it from proteasomal degradation. Regulates
the circadian clock via phosphorylation of the major
clock components including ARNTL/BMAL1, CLOCK and PER2.
Phosphorylates CLOCK AT 'Ser-427' and targets it for
proteasomal degradation. Phosphorylates ARNTL/BMAL1 at
'Ser-17' and 'Ser-21' and primes it for ubiquitination
and proteasomal degradation. Phosphorylates OGT at 'Ser-3'
or 'Ser-4' which positively regulates its activity.
Phosphorylates MYCN in neuroblastoma cells which may promote
its degradation (PubMed:24391509).",NA,NA,NA,Protein,46743.865 Da,NA
Lithium,Inositol monophosphatase 1,Inositol monophosphatase 1,Inhibitor,IMPA1,Unknown,NA,IMPA,⮽,"Responsible for the provision of inositol required for
synthesis of phosphatidylinositol and polyphosphoinositides
and has been implicated as the pharmacological target for
lithium action in brain. Has broad substrate specificity
and can use myo-inositol monophosphates, myo-inositol
1,3-diphosphate, myo-inositol 1,4-diphosphate, scyllo-
inositol-phosphate, D-galactose 1-phosphate, glucose-1-
phosphate, glucose-6-phosphate, fructose-1-phosphate, beta-
glycerophosphate, and 2'-AMP as substrates.",NA,NA,NA,Protein,30188.59 Da,NA
Lithium,Inositol monophosphatase 2,Inositol monophosphatase 2,Inhibitor,IMPA2,Unknown,NA,IMPA,⮽,"Can use myo-inositol monophosphates, scylloinositol 1,4-
diphosphate, glucose-1-phosphate, beta-glycerophosphate,
and 2'-AMP as substrates. Has been implicated as the
pharmacological target for lithium Li(+) action in brain.",NA,NA,NA,Protein,31320.525 Da,NA
Lithium,Glutamate receptor 3,Glutamate  3,Potentiator,GRIA3,Unknown,NA,GRIA,⯭,"Receptor for glutamate that functions as ligand-gated ion
channel in the central nervous system and plays an important
role in excitatory synaptic transmission. L-glutamate
acts as an excitatory neurotransmitter at many synapses
in the central nervous system. Binding of the excitatory
neurotransmitter L-glutamate induces a conformation change,
leading to the opening of the cation channel, and thereby
converts the chemical signal to an electrical impulse. The
receptor then desensitizes rapidly and enters a transient
inactive state, characterized by the presence of bound
agonist. In the presence of CACNG4 or CACNG7 or CACNG8,
shows resensitization which is characterized by a delayed
accumulation of current flux upon continued application of
glutamate.",NA,NA,NA,Protein,101155.975 Da,NA
Melatonin,Melatonin receptor type 1A,Melatonin  type 1A,Agonist,MTNR1A,Yes,10.553618187777557,MTNR,⯅,"High affinity receptor for melatonin. Likely to mediates
the reproductive and circadian actions of melatonin.
The activity of this receptor is mediated by pertussis
toxin sensitive G proteins that inhibit adenylate cyclase
activity.",0.27949999999999997,0.08,0.66,Protein,39374.315 Da,NA
Melatonin,Melatonin receptor type 1B,Melatonin  type 1B,Agonist,MTNR1B,Yes,10.46916022138348,MTNR,⯅,"High affinity receptor for melatonin. Likely to mediates
the reproductive and circadian actions of melatonin.
The activity of this receptor is mediated by pertussis
toxin sensitive G proteins that inhibit adenylate cyclase
activity.",0.3395,0.12,1.11,Protein,40187.895 Da,NA
Melatonin,Estrogen receptor alpha,Estrogen  alpha,Antagonist,ESR1,Unknown,NA,ESR,⯆,"Nuclear hormone receptor. The steroid hormones and their
receptors are involved in the regulation of eukaryotic
gene expression and affect cellular proliferation and
differentiation in target tissues. Ligand-dependent nuclear
transactivation involves either direct homodimer binding to
a palindromic estrogen response element (ERE) sequence or
association with other DNA-binding transcription factors,
such as AP-1/c-Jun, c-Fos, ATF-2, Sp1 and Sp3, to mediate
ERE-independent signaling. Ligand binding induces a
conformational change allowing subsequent or combinatorial
association with multiprotein coactivator complexes
through LXXLL motifs of their respective components. Mutual
transrepression occurs between the estrogen receptor (ER)
and NF-kappa-B in a cell-type specific manner. Decreases
NF-kappa-B DNA-binding activity and inhibits NF-kappa-B-
mediated transcription from the IL6 promoter and displace
RELA/p65 and associated coregulators from the promoter.
Recruited to the NF-kappa-B response element of the CCL2
and IL8 promoters and can displace CREBBP. Present with NF-
kappa-B components RELA/p65 and NFKB1/p50 on ERE sequences.
Can also act synergistically with NF-kappa-B to activate
transcription involving respective recruitment adjacent
response elements; the function involves CREBBP. Can
activate the transcriptional activity of TFF1. Also mediates
membrane-initiated estrogen signaling involving various
kinase cascades. Isoform 3 is involved in activation of
NOS3 and endothelial nitric oxide production. Isoforms
lacking one or several functional domains are thought to
modulate transcriptional activity by competitive ligand or
DNA binding and/or heterodimerization with the full length
receptor. Essential for MTA1-mediated transcriptional
regulation of BRCA1 and BCAS3. Isoform 3 can bind to ERE and
inhibit isoform 1.",NA,NA,NA,Protein,66215.45 Da,NA
Melatonin,Nuclear receptor ROR-beta,Nuclear  ROR-beta,Agonist,RORB,Unknown,NA,RORB,⯅,"Nuclear receptor that binds DNA as a monomer to ROR response
elements (RORE) containing a single core motif half-
site 5'-AGGTCA-3' preceded by a short A-T-rich sequence.
Considered to have intrinsic transcriptional activity,
have some natural ligands such as all-trans retinoic acid
(ATRA) and other retinoids which act as inverse agonists
repressing the transcriptional activity. Required for normal
postnatal development of rod and cone photoreceptor cells.
Modulates rod photoreceptors differentiation at least by
inducing the transcription factor NRL-mediated pathway.
In cone photoreceptor cells, regulates transcription of
OPN1SW. Involved in the regulation of the period length
and stability of the circadian rhythm. May control
cytoarchitectural patterning of neocortical neurons during
development. May act in a dose-dependent manner to regulate
barrel formation upon innervation of layer IV neurons by
thalamocortical axons. May play a role in the suppression
of osteoblastic differentiation through the inhibition
of RUNX2 transcriptional activity (By similarity).Isoform
1 is critical for hindlimb motor control and for the
differentiation of amacrine and horizontal cells in the
retina. Regulates the expression of PTF1A synergistically
with FOXN4 (By similarity).",NA,NA,NA,Protein,53219.385 Da,NA
Melatonin,Calmodulin,Calmodulin,NA,CALM1,Unknown,NA,CALM,ˌ,"Calmodulin mediates the control of a large number of
enzymes, ion channels, aquaporins and other proteins
by Ca(2+). Among the enzymes to be stimulated by the
calmodulin-Ca(2+) complex are a number of protein kinases
and phosphatases. Together with CCP110 and centrin, is
involved in a genetic pathway that regulates the centrosome
cycle and progression through cytokinesis.",NA,NA,NA,Protein,16837.47 Da,NA
Melatonin,Myeloperoxidase,Myeloperoxidase,Inhibitor,MPO,Unknown,NA,MPO,⮽,"Part of the host defense system of polymorphonuclear
leukocytes. It is responsible for microbicidal activity
against a wide range of organisms. In the stimulated PMN,
MPO catalyzes the production of hypohalous acids, primarily
hypochlorous acid in physiologic situations, and other
toxic intermediates that greatly enhance PMN microbicidal
activity.",NA,NA,NA,Protein,83867.71 Da,NA
Melatonin,Eosinophil peroxidase,Eosinophil peroxidase,Inhibitor,EPX,Unknown,NA,EPX,⮽,"Mediates tyrosine nitration of secondary granule proteins
in mature resting eosinophils. Shows significant inhibitory
activity towards Mycobacterium tuberculosis H37Rv by
inducing bacterial fragmentation and lysis.",NA,NA,NA,Protein,81039.5 Da,NA
Melatonin,Calreticulin,Calreticulin,NA,CALR,Unknown,NA,CALR,ˌ,"Calcium-binding chaperone that promotes folding,
oligomeric assembly and quality control in the endoplasmic
reticulum (ER) via the calreticulin/calnexin cycle.
This lectin interacts transiently with almost all of the
monoglucosylated glycoproteins that are synthesized in
the ER. Interacts with the DNA-binding domain of NR3C1
and mediates its nuclear export. Involved in maternal gene
expression regulation. May participate in oocyte maturation
via the regulation of calcium homeostasis (By similarity).",NA,NA,NA,Protein,48141.2 Da,NA
Melatonin,Acetylserotonin O-methyltransferase,Acetylserotonin O-methyltransferase,NA,ASMT,Unknown,NA,ASMT,ˌ,"Isoform 1 catalyzes the transfer of a methyl group onto
N-acetylserotonin, producing melatonin (N-acetyl-5-
methoxytryptamine). Isoform 2 and isoform 3 lack enzyme
activity.",NA,NA,NA,Protein,38452.51 Da,NA
Melatonin,Ribosyldihydronicotinamide dehydrogenase [quinone],Ribosyldihydronicotinamide dehydrogenase [quinone],NA,NQO2,Unknown,NA,NQO,ˌ,"The enzyme apparently serves as a quinone reductase in
connection with conjugation reactions of hydroquinones
involved in detoxification pathways as well as in
biosynthetic processes such as the vitamin K-dependent
gamma-carboxylation of glutamate residues in prothrombin
synthesis.",NA,NA,NA,Protein,25918.4 Da,NA
Methadone,Mu-type opioid receptor,Mu-type opioid ,Agonist,OPRM1,Yes,NA,OPRM,⯅,"Receptor for endogenous opioids such as beta-endorphin
and endomorphin. Receptor for natural and synthetic
opioids including morphine, heroin, DAMGO, fentanyl,
etorphine, buprenorphin and methadone. Agonist binding
to the receptor induces coupling to an inactive GDP-bound
heterotrimeric G-protein complex and subsequent exchange
of GDP for GTP in the G-protein alpha subunit leading to
dissociation of the G-protein complex with the free GTP-
bound G-protein alpha and the G-protein beta-gamma dimer
activating downstream cellular effectors. The agonist- and
cell type-specific activity is predominantly coupled to
pertussis toxin-sensitive G(i) and G(o) G alpha proteins,
GNAI1, GNAI2, GNAI3 and GNAO1 isoforms Alpha-1 and Alpha-2,
and to a lesser extend to pertussis toxin-insensitive
G alpha proteins GNAZ and GNA15. They mediate an array
of downstream cellular responses, including inhibition
of adenylate cyclase activity and both N-type and L-
type calcium channels, activation of inward rectifying
potassium channels, mitogen-activated protein kinase (MAPK),
phospholipase C (PLC), phosphoinositide/protein kinase
(PKC), phosphoinositide 3-kinase (PI3K) and regulation of
NF-kappa-B. Also couples to adenylate cyclase stimulatory
G alpha proteins. The selective temporal coupling to G-
proteins and subsequent signaling can be regulated by RGSZ
proteins, such as RGS9, RGS17 and RGS4. Phosphorylation by
members of the GPRK subfamily of Ser/Thr protein kinases
and association with beta-arrestins is involved in short-
term receptor desensitization. Beta-arrestins associate
with the GPRK-phosphorylated receptor and uncouple it from
the G-protein thus terminating signal transduction. The
phosphorylated receptor is internalized through endocytosis
via clathrin-coated pits which involves beta-arrestins.
The activation of the ERK pathway occurs either in a G-
protein-dependent or a beta-arrestin-dependent manner and
is regulated by agonist-specific receptor phosphorylation.
Acts as a class A G-protein coupled receptor (GPCR) which
dissociates from beta-arrestin at or near the plasma
membrane and undergoes rapid recycling. Receptor down-
regulation pathways are varying with the agonist and occur
dependent or independent of G-protein coupling. Endogenous
ligands induce rapid desensitization, endocytosis and
recycling whereas morphine induces only low desensitization
and endocytosis. Heterooligomerization with other GPCRs
can modulate agonist binding, signaling and trafficking
properties. Involved in neurogenesis. Isoform 12 couples to
GNAS and is proposed to be involved in excitatory effects.
Isoform 16 and isoform 17 do not bind agonists but may
act through oligomerization with binding-competent OPRM1
isoforms and reduce their ligand binding activity.",NA,NA,NA,Protein,44778.855 Da,Full agonist.
Methadone,Delta-type opioid receptor,Delta-type opioid ,Agonist,OPRD1,Yes,7,OPRD,⯅,"G-protein coupled receptor that functions as receptor
for endogenous enkephalins and for a subset of other
opioids. Ligand binding causes a conformation change that
triggers signaling via guanine nucleotide-binding proteins
(G proteins) and modulates the activity of down-stream
effectors, such as adenylate cyclase. Signaling leads to
the inhibition of adenylate cyclase activity. Inhibits
neurotransmitter release by reducing calcium ion currents
and increasing potassium ion conductance. Plays a role in
the perception of pain and in opiate-mediated analgesia.
Plays a role in developing analgesic tolerance to morphine.",1000,1000,1000,Protein,40368.235 Da,NA
Methadone,5-hydroxytryptamine receptor 3A,5-hydroxytryptamine  3A,Antagonist,HTR3A,Unknown,NA,HTR,⯆,"This is one of the several different receptors for 5-
hydroxytryptamine (serotonin), a biogenic hormone that
functions as a neurotransmitter, a hormone, and a mitogen.
This receptor is a ligand-gated ion channel, which when
activated causes fast, depolarizing responses in neurons. It
is a cation-specific, but otherwise relatively nonselective,
ion channel.",NA,NA,NA,Protein,55279.835 Da,NA
Methadone,Neuronal acetylcholine receptor subunit alpha-7,Neuronal acetylcholine  subunit alpha-7,Agonist,CHRNA7,Yes,NA,CHRNA,⯅,"After binding acetylcholine, the AChR responds by an
extensive change in conformation that affects all subunits
and leads to opening of an ion-conducting channel across
the plasma membrane. The channel is blocked by alpha-
bungarotoxin.",NA,NA,NA,Protein,56448.925 Da,NA
Methadone,Neuronal acetylcholine receptor subunit alpha-3,Neuronal acetylcholine  subunit alpha-3,Antagonist,CHRNA3,Unknown,NA,CHRNA,⯆,"After binding acetylcholine, the AChR responds by an
extensive change in conformation that affects all subunits
and leads to opening of an ion-conducting channel across the
plasma membrane.",NA,NA,NA,Protein,57479.54 Da,NA
Methadone,Neuronal acetylcholine receptor subunit alpha-4,Neuronal acetylcholine  subunit alpha-4,Antagonist,CHRNA4,Unknown,NA,CHRNA,⯆,"After binding acetylcholine, the AChR responds by an
extensive change in conformation that affects all subunits
and leads to opening of an ion-conducting channel across the
plasma membrane permeable to sodium ions.",NA,NA,NA,Protein,69956.47 Da,NA
Methadone,Neuronal acetylcholine receptor subunit beta-2,Neuronal acetylcholine  subunit beta-2,Antagonist,CHRNB2,Unknown,NA,CHRNB,⯆,"After binding acetylcholine, the AChR responds by an
extensive change in conformation that affects all subunits
and leads to opening of an ion-conducting channel across the
plasma membrane permeable to sodiun ions.",NA,NA,NA,Protein,57018.575 Da,NA
Methamphetamine,Sodium-dependent dopamine transporter,Sodium-dependent dopamine transporter,Negative modulator,SLC6A3,Yes,NA,SLC,⮋,"Amine transporter. Terminates the action of dopamine by its
high affinity sodium-dependent reuptake into presynaptic
terminals.",NA,NA,NA,Protein,68494.255 Da,NA
Methamphetamine,Sodium-dependent serotonin transporter,Sodium-dependent serotonin transporter,Negative modulator,SLC6A4,Yes,NA,SLC,⮋,"Serotonin transporter whose primary function in the central
nervous system involves the regulation of serotonergic
signaling via transport of serotonin molecules from the
synaptic cleft back into the pre-synaptic terminal for re-
utilization. Plays a key role in mediating regulation of the
availability of serotonin to other receptors of serotonergic
systems. Terminates the action of serotonin and recycles it
in a sodium-dependent manner.",NA,NA,NA,Protein,70324.165 Da,NA
Methamphetamine,Sodium-dependent noradrenaline transporter,Sodium-dependent noradrenaline transporter,Negative modulator,SLC6A2,Yes,NA,SLC,⮋,"Amine transporter. Terminates the action of noradrenaline by
its high affinity sodium-dependent reuptake into presynaptic
terminals.",NA,NA,NA,Protein,69331.42 Da,NA
Methamphetamine,Synaptic vesicular amine transporter,Synaptic vesicular amine transporter,Inhibitor,SLC18A2,Yes,NA,SLC,⮽,"Involved in the ATP-dependent vesicular transport of
biogenic amine neurotransmitters. Pumps cytosolic monoamines
including dopamine, norepinephrine, serotonin, and histamine
into synaptic vesicles. Requisite for vesicular amine
storage prior to secretion via exocytosis.",NA,NA,NA,Protein,55712.075 Da,NA
Methamphetamine,Chromaffin granule amine transporter,Chromaffin granule amine transporter,Inhibitor,SLC18A1,Yes,NA,SLC,⮽,"Involved in the transport of biogenic monoamines, such as
serotonin, from the cytoplasm into the secretory vesicles of
neuroendocrine and endocrine cells.",NA,NA,NA,Protein,56256.71 Da,NA
Methamphetamine,Trace amine-associated receptor 1,Trace amine-associated  1,Agonist,TAAR1,Yes,NA,TAAR,⯅,"Receptor for trace amines, including beta-phenylethylamine
(b-PEA), p-tyramine (p-TYR), octopamine and tryptamine,
with highest affinity for b-PEA and p-TYR. Unresponsive to
classical biogenic amines, such as epinephrine and histamine
and only partially activated by dopamine and serotonine.
Trace amines are biogenic amines present in very low levels
in mammalian tissues. Although some trace amines have
clearly defined roles as neurotransmitters in invertebrates,
the extent to which they function as true neurotransmitters
in vertebrates has remained speculative. Trace amines
are likely to be involved in a variety of physiological
functions that have yet to be fully understood. The signal
transduced by this receptor is mediated by the G(s)-class of
G-proteins which activate adenylate cyclase.",NA,NA,NA,Protein,39091.34 Da,NA
Methamphetamine,Alpha-2A adrenergic receptor,Alpha-2A adrenergic ,Agonist,ADRA2A,Yes,NA,ADRA,⯅,"Alpha-2 adrenergic receptors mediate the catecholamine-
induced inhibition of adenylate cyclase through the action
of G proteins. The rank order of potency for agonists of
this receptor is oxymetazoline > clonidine > epinephrine
> norepinephrine > phenylephrine > dopamine > p-synephrine
> p-tyramine > serotonin = p-octopamine. For antagonists,
the rank order is yohimbine > phentolamine = mianserine
> chlorpromazine = spiperone = prazosin > propanolol >
alprenolol = pindolol.",NA,NA,NA,Protein,48956.275 Da,NA
Methamphetamine,Alpha-2B adrenergic receptor,Alpha-2B adrenergic ,Agonist,ADRA2B,Yes,NA,ADRA,⯅,"Alpha-2 adrenergic receptors mediate the catecholamine-
induced inhibition of adenylate cyclase through the action
of G proteins. The rank order of potency for agonists of
this receptor is clonidine > norepinephrine > epinephrine
= oxymetazoline > dopamine > p-tyramine = phenylephrine >
serotonin > p-synephrine / p-octopamine. For antagonists,
the rank order is yohimbine > chlorpromazine > phentolamine
> mianserine > spiperone > prazosin > alprenolol >
propanolol > pindolol.",NA,NA,NA,Protein,49565.8 Da,NA
Methamphetamine,Alpha-2C adrenergic receptor,Alpha-2C adrenergic ,Agonist,ADRA2C,Yes,NA,ADRA,⯅,"Alpha-2 adrenergic receptors mediate the catecholamine-
induced inhibition of adenylate cyclase through the action
of G proteins.",NA,NA,NA,Protein,49521.585 Da,NA
Methamphetamine,Amine oxidase [flavin-containing] A,Amine oxidase [flavin-containing] A,Inhibitor,MAOA,Yes,NA,MAOA,⮽,"Catalyzes the oxidative deamination of biogenic and
xenobiotic amines and has important functions in the
metabolism of neuroactive and vasoactive amines in the
central nervous system and peripheral tissues. MAOA
preferentially oxidizes biogenic amines such as 5-
hydroxytryptamine (5-HT), norepinephrine and epinephrine.",NA,NA,NA,Protein,59681.27 Da,NA
Methamphetamine,Amine oxidase [flavin-containing] B,Amine oxidase [flavin-containing] B,Inhibitor,MAOB,Yes,NA,MAOB,⮽,"Catalyzes the oxidative deamination of biogenic and
xenobiotic amines and has important functions in the
metabolism of neuroactive and vasoactive amines in the
central nervous system and peripheral tissues. MAOB
preferentially degrades benzylamine and phenylethylamine.",NA,NA,NA,Protein,58762.475 Da,NA
Mianserin,Alpha-2A adrenergic receptor,Alpha-2A adrenergic ,Antagonist,ADRA2A,Unknown,9.318758762624412,ADRA,⯆,"Alpha-2 adrenergic receptors mediate the catecholamine-
induced inhibition of adenylate cyclase through the action
of G proteins. The rank order of potency for agonists of
this receptor is oxymetazoline > clonidine > epinephrine
> norepinephrine > phenylephrine > dopamine > p-synephrine
> p-tyramine > serotonin = p-octopamine. For antagonists,
the rank order is yohimbine > phentolamine = mianserine
> chlorpromazine = spiperone = prazosin > propanolol >
alprenolol = pindolol.",4.8,4.8,4.8,Protein,48956.275 Da,NA
Mianserin,5-hydroxytryptamine receptor 2A,5-hydroxytryptamine  2A,Antagonist,HTR2A,Unknown,9.366531544420413,HTR,⯆,"G-protein coupled receptor for 5-hydroxytryptamine
(serotonin). Also functions as a receptor for various
drugs and psychoactive substances, including mescaline,
psilocybin, 1-(2,5-dimethoxy-4-iodophenyl)-2-aminopropane
(DOI) and lysergic acid diethylamide (LSD). Ligand binding
causes a conformation change that triggers signaling
via guanine nucleotide-binding proteins (G proteins)
and modulates the activity of down-stream effectors.
Beta-arrestin family members inhibit signaling via G
proteins and mediate activation of alternative signaling
pathways. Signaling activates phospholipase C and a
phosphatidylinositol-calcium second messenger system
that modulates the activity of phosphatidylinositol 3-
kinase and promotes the release of Ca(2+) ions from
intracellular stores. Affects neural activity, perception,
cognition and mood. Plays a role in the regulation of
behavior, including responses to anxiogenic situations
and psychoactive substances. Plays a role in intestinal
smooth muscle contraction, and may play a role in arterial
vasoconstriction.(Microbial infection) Acts as a receptor
for human JC polyomavirus/JCPyV.",4.3,1.58,27,Protein,52602.58 Da,NA
Mianserin,5-hydroxytryptamine receptor 2C,5-hydroxytryptamine  2C,Antagonist,HTR2C,Unknown,9.356547323513812,HTR,⯆,"G-protein coupled receptor for 5-hydroxytryptamine
(serotonin). Also functions as a receptor for various
drugs and psychoactive substances, including ergot alkaloid
derivatives, 1-2,5,-dimethoxy-4-iodophenyl-2-aminopropane
(DOI) and lysergic acid diethylamide (LSD). Ligand binding
causes a conformation change that triggers signaling
via guanine nucleotide-binding proteins (G proteins) and
modulates the activity of down-stream effectors. Beta-
arrestin family members inhibit signaling via G proteins
and mediate activation of alternative signaling pathways.
Signaling activates a phosphatidylinositol-calcium
second messenger system that modulates the activity of
phosphatidylinositol 3-kinase and down-stream signaling
cascades and promotes the release of Ca(2+) ions from
intracellular stores. Regulates neuronal activity via the
activation of short transient receptor potential calcium
channels in the brain, and thereby modulates the activation
of pro-opiomelacortin neurons and the release of CRH that
then regulates the release of corticosterone. Plays a role
in the regulation of appetite and eating behavior, responses
to anxiogenic stimuli and stress. Plays a role in insulin
sensitivity and glucose homeostasis.",4.4,0.63,10,Protein,51820.705 Da,NA
Mianserin,Histamine H1 receptor,Histamine H1 ,Antagonist,HRH1,Unknown,9.987162775294827,HRH,⯆,"In peripheral tissues, the H1 subclass of histamine
receptors mediates the contraction of smooth muscles,
increase in capillary permeability due to contraction of
terminal venules, and catecholamine release from adrenal
medulla, as well as mediating neurotransmission in the
central nervous system.",1.03,0.36,1.7,Protein,55783.61 Da,NA
Mianserin,Sodium-dependent noradrenaline transporter,Sodium-dependent noradrenaline transporter,Inhibitor,SLC6A2,Unknown,8.148741651280925,SLC,⮽,"Amine transporter. Terminates the action of noradrenaline by
its high affinity sodium-dependent reuptake into presynaptic
terminals.",71,71,71,Protein,69331.42 Da,NA
Mianserin,Sodium-dependent serotonin transporter,Sodium-dependent serotonin transporter,Inhibitor,SLC6A4,Unknown,6.3979400086720375,SLC,⮽,"Serotonin transporter whose primary function in the central
nervous system involves the regulation of serotonergic
signaling via transport of serotonin molecules from the
synaptic cleft back into the pre-synaptic terminal for re-
utilization. Plays a key role in mediating regulation of the
availability of serotonin to other receptors of serotonergic
systems. Terminates the action of serotonin and recycles it
in a sodium-dependent manner.",4000,4000,4000,Protein,70324.165 Da,NA
Mianserin,Histamine H4 receptor,Histamine H4 ,Binder,HRH4,Unknown,7.1249387366083,HRH,⬬,"The H4 subclass of histamine receptors could mediate
the histamine signals in peripheral tissues. Displays a
significant level of constitutive activity (spontaneous
activity in the absence of agonist).",750,750,750,Protein,44495.375 Da,NA
Mianserin,5-hydroxytryptamine receptor 1A,5-hydroxytryptamine  1A,Blocker,HTR1A,Unknown,7.295480575406682,HTR,⭙,"G-protein coupled receptor for 5-hydroxytryptamine
(serotonin). Also functions as a receptor for various
drugs and psychoactive substances. Ligand binding causes
a conformation change that triggers signaling via guanine
nucleotide-binding proteins (G proteins) and modulates
the activity of down-stream effectors, such as adenylate
cyclase. Beta-arrestin family members inhibit signaling via
G proteins and mediate activation of alternative signaling
pathways. Signaling inhibits adenylate cyclase activity and
activates a phosphatidylinositol-calcium second messenger
system that regulates the release of Ca(2+) ions from
intracellular stores. Plays a role in the regulation of 5-
hydroxytryptamine release and in the regulation of dopamine
and 5-hydroxytryptamine metabolism. Plays a role in the
regulation of dopamine and 5-hydroxytryptamine levels
in the brain, and thereby affects neural activity, mood
and behavior. Plays a role in the response to anxiogenic
stimuli.",506.43,398.1,2592,Protein,46106.335 Da,NA
Mianserin,Alpha-2C adrenergic receptor,Alpha-2C adrenergic ,Antagonist,ADRA2C,Unknown,9.42021640338319,ADRA,⯆,"Alpha-2 adrenergic receptors mediate the catecholamine-
induced inhibition of adenylate cyclase through the action
of G proteins.",3.8,3.8,3.8,Protein,49521.585 Da,NA
Mianserin,5-hydroxytryptamine receptor 2B,5-hydroxytryptamine  2B,Binder,HTR2B,Unknown,NA,HTR,⬬,"G-protein coupled receptor for 5-hydroxytryptamine
(serotonin). Also functions as a receptor for various ergot
alkaloid derivatives and psychoactive substances. Ligand
binding causes a conformation change that triggers signaling
via guanine nucleotide-binding proteins (G proteins)
and modulates the activity of down-stream effectors.
Beta-arrestin family members inhibit signaling via G
proteins and mediate activation of alternative signaling
pathways. Signaling activates a phosphatidylinositol-
calcium second messenger system that modulates the
activity of phosphatidylinositol 3-kinase and down-
stream signaling cascades and promotes the release of
Ca(2+) ions from intracellular stores. Plays a role in the
regulation of dopamine and 5-hydroxytryptamine release,
5-hydroxytryptamine uptake and in the regulation of
extracellular dopamine and 5-hydroxytryptamine levels,
and thereby affects neural activity. May play a role in
the perception of pain. Plays a role in the regulation of
behavior, including impulsive behavior. Required for normal
proliferation of embryonic cardiac myocytes and normal heart
development. Protects cardiomyocytes against apoptosis.
Plays a role in the adaptation of pulmonary arteries to
chronic hypoxia. Plays a role in vasoconstriction. Required
for normal osteoblast function and proliferation, and
for maintaining normal bone density. Required for normal
proliferation of the interstitial cells of Cajal in the
intestine.",NA,NA,NA,Protein,54297.41 Da,NA
Mianserin,5-hydroxytryptamine receptor 1F,5-hydroxytryptamine  1F,Binder,HTR1F,Unknown,8.90031935889075,HTR,⬬,"G-protein coupled receptor for 5-hydroxytryptamine
(serotonin). Also functions as a receptor for various
alkaloids and psychoactive substances. Ligand binding causes
a conformation change that triggers signaling via guanine
nucleotide-binding proteins (G proteins) and modulates
the activity of down-stream effectors, such as adenylate
cyclase. Signaling inhibits adenylate cyclase activity.",12.58,12.58,12.58,Protein,41708.505 Da,NA
