Name,Actions,Gene Name,General Function,Kind,Molecular Weight,Organism,Pharmacological action,Specific Function,Uniprot ID,Uniprot Name,Drug,drugbank_id,Curator comments
Cytochrome P450 2C9,Substrate,CYP2C9,Steroid hydroxylase activity,Protein,55627.365 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P11712,Cytochrome P450 2C9,Haloperidol,DB00502,NA
Cytochrome P450 1A1,Substrate,CYP1A1,Vitamin d 24-hydroxylase activity,Protein,58164.815 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P04798,Cytochrome P450 1A1,Haloperidol,DB00502,NA
Cytochrome P450 2D6,SubstrateInhibitor,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,Unknown,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Clomipramine,DB01242,NA
Cytochrome P450 2C19,Substrate,CYP2C19,Steroid hydroxylase activity,Protein,55930.545 Da,Humans,Unknown,"Responsible for the metabolism of a number of therapeutic agents such as the anticonvulsant drug S-mephenytoin, omeprazole, proguanil, certain barbiturates, diazepam, propranolol, citalopram and im...",P33261,Cytochrome P450 2C19,Clomipramine,DB01242,NA
Cytochrome P450 1A2,Substrate,CYP1A2,"Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",Protein,58293.76 Da,Humans,No,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P05177,Cytochrome P450 1A2,Clomipramine,DB01242,NA
Cytochrome P450 3A4,Substrate,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Clomipramine,DB01242,NA
UDP-glucuronosyltransferase 1-4,Substrate,UGT1A4,Protein homodimerization activity,Protein,60024.535 Da,Humans,Unknown,UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. This isoform glucuronidates bilirubin IX-alpha to form both the...,P22310,UDP-glucuronosyltransferase 1-4,Lamotrigine,DB00555,NA
Dihydrofolate reductase,Inhibitor,DHFR,Nadph binding,Protein,21452.61 Da,Humans,Unknown,"Key enzyme in folate metabolism. Contributes to the de novo mitochondrial thymidylate biosynthesis pathway. Catalyzes an essential reaction for de novo glycine and purine synthesis, and for DNA pre...",P00374,Dihydrofolate reductase,Lamotrigine,DB00555,NA
UDP-glucuronosyltransferase 1-3,Substrate,UGT1A3,Retinoic acid binding,Protein,60337.835 Da,Humans,Unknown,UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. Isoform 2 lacks transferase activity but acts as a negative reg...,P35503,UDP-glucuronosyltransferase 1-3,Lamotrigine,DB00555,NA
UDP-glucuronosyltransferase 1-1,SubstrateInducer,UGT1A1,Steroid binding,Protein,59590.91 Da,Humans,No,UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. This isoform glucuronidates bilirubin IX-alpha to form both the...,P22309,UDP-glucuronosyltransferase 1-1,Lamotrigine,DB00555,NA
Cytochrome P450 3A4,Substrate,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Lisuride,DB00589,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lithium,DB01356,NA
UDP-glucuronosyltransferase 2B15,Substrate,UGT2B15,Glucuronosyltransferase activity,Protein,61035.815 Da,Humans,Unknown,UDPGTs are of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. This isozyme displays activity toward several classes of xeno...,P54855,UDP-glucuronosyltransferase 2B15,Lorazepam,DB00186,NA
Cytochrome P450 3A4,Substrate,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,No,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Lorazepam,DB00186,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lormetazepam,DB13872,NA
Cytochrome P450 1A1,SubstrateInhibitor,CYP1A1,Vitamin d 24-hydroxylase activity,Protein,58164.815 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P04798,Cytochrome P450 1A1,Melatonin,DB01065,NA
Cytochrome P450 1A2,Substrate,CYP1A2,"Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",Protein,58293.76 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P05177,Cytochrome P450 1A2,Melatonin,DB01065,NA
Cytochrome P450 1B1,SubstrateInhibitor,CYP1B1,Oxygen binding,Protein,60845.33 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",Q16678,Cytochrome P450 1B1,Melatonin,DB01065,NA
Cytochrome P450 2C19,Substrate,CYP2C19,Steroid hydroxylase activity,Protein,55930.545 Da,Humans,Unknown,"Responsible for the metabolism of a number of therapeutic agents such as the anticonvulsant drug S-mephenytoin, omeprazole, proguanil, certain barbiturates, diazepam, propranolol, citalopram and im...",P33261,Cytochrome P450 2C19,Melatonin,DB01065,NA
Cytochrome P450 2C9,Substrate,CYP2C9,Steroid hydroxylase activity,Protein,55627.365 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P11712,Cytochrome P450 2C9,Melatonin,DB01065,NA
Acetylserotonin O-methyltransferase,Substrate,ASMT,Protein homodimerization activity,Protein,38452.51 Da,Humans,Unknown,"Isoform 1 catalyzes the transfer of a methyl group onto N-acetylserotonin, producing melatonin (N-acetyl-5-methoxytryptamine). Isoform 2 and isoform 3 lack enzyme activity.",P46597,Acetylserotonin O-methyltransferase,Melatonin,DB01065,NA
"Indoleamine 2,3-dioxygenase 1",Substrate,IDO1,"Tryptophan 2,3-dioxygenase activity",Protein,45325.89 Da,Humans,Unknown,"Catalyzes the first and rate limiting step of the catabolism of the essential amino acid tryptophan along the kynurenine pathway (PubMed:17671174). Involved in the peripheral immune tolerance, cont...",P14902,"Indoleamine 2,3-dioxygenase 1",Melatonin,DB01065,NA
Myeloperoxidase,SubstrateInhibitor,MPO,Peroxidase activity,Protein,83867.71 Da,Humans,Unknown,"Part of the host defense system of polymorphonuclear leukocytes. It is responsible for microbicidal activity against a wide range of organisms. In the stimulated PMN, MPO catalyzes the production o...",P05164,Myeloperoxidase,Melatonin,DB01065,NA
Cytochrome P450 19A1,Inhibitor,CYP19A1,Oxygen binding,Protein,57882.48 Da,Humans,Unknown,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,P11511,Aromatase,Melatonin,DB01065,NA
Cytochrome P450 3A4,SubstrateInhibitorInducer,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Methadone,DB00333,NA
Cytochrome P450 2C19,Substrate,CYP2C19,Steroid hydroxylase activity,Protein,55930.545 Da,Humans,Unknown,"Responsible for the metabolism of a number of therapeutic agents such as the anticonvulsant drug S-mephenytoin, omeprazole, proguanil, certain barbiturates, diazepam, propranolol, citalopram and im...",P33261,Cytochrome P450 2C19,Methadone,DB00333,NA
Cytochrome P450 3A7,Substrate,CYP3A7,Oxygen binding,Protein,57525.03 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P24462,Cytochrome P450 3A7,Methadone,DB00333,NA
Cytochrome P450 2D6,SubstrateInhibitor,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,Unknown,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Methadone,DB00333,NA
Cytochrome P450 2B6,SubstrateInducer,CYP2B6,Steroid hydroxylase activity,Protein,56277.81 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P20813,Cytochrome P450 2B6,Methadone,DB00333,NA
Cytochrome P450 2C8,Substrate,CYP2C8,Steroid hydroxylase activity,Protein,55824.275 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P10632,Cytochrome P450 2C8,Methadone,DB00333,NA
Cytochrome P450 19A1,Substrate,CYP19A1,Oxygen binding,Protein,57882.48 Da,Humans,Unknown,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,P11511,Aromatase,Methadone,DB00333,NA
Cytochrome P450 1A2,Substrate,CYP1A2,"Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",Protein,58293.76 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P05177,Cytochrome P450 1A2,Methadone,DB00333,Data supporting this enzyme action are limited to in vitro studies.
Cytochrome P450 2C18,Substrate,CYP2C18,Steroid hydroxylase activity,Protein,55710.075 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P33260,Cytochrome P450 2C18,Methadone,DB00333,NA
Cytochrome P450 2C9,Substrate,CYP2C9,Steroid hydroxylase activity,Protein,55627.365 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P11712,Cytochrome P450 2C9,Methadone,DB00333,NA
Cytochrome P450 2D6,Substrate,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,Unknown,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Methamphetamine,DB01577,NA
Cytochrome P450 2D6,Substrate,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,Unknown,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Mianserin,DB06148,NA
Cytochrome P450 3A4,Substrate,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Mianserin,DB06148,NA
Cytochrome P450 1A2,Substrate,CYP1A2,"Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",Protein,58293.76 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P05177,Cytochrome P450 1A2,Mianserin,DB06148,Data supporting this enzyme action are limited to an in vitro study.
Cytochrome P450 2B6,Substrate,CYP2B6,Steroid hydroxylase activity,Protein,56277.81 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P20813,Cytochrome P450 2B6,Mianserin,DB06148,NA
Cytochrome P450 3A4,SubstrateInhibitor,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Mirtazapine,DB00370,NA
Cytochrome P450 2D6,Substrate,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,Unknown,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Mirtazapine,DB00370,NA
Cytochrome P450 1A2,Substrate,CYP1A2,"Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",Protein,58293.76 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P05177,Cytochrome P450 1A2,Mirtazapine,DB00370,NA
Cytochrome P450 3A4,SubstrateInhibitor,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Buprenorphine,DB00921,NA
Cytochrome P450 3A5,Substrate,CYP3A5,Oxygen binding,Protein,57108.065 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P20815,Cytochrome P450 3A5,Buprenorphine,DB00921,NA
Cytochrome P450 2C9,Substrate,CYP2C9,Steroid hydroxylase activity,Protein,55627.365 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P11712,Cytochrome P450 2C9,Buprenorphine,DB00921,NA
Cytochrome P450 2C8,Substrate,CYP2C8,Steroid hydroxylase activity,Protein,55824.275 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P10632,Cytochrome P450 2C8,Buprenorphine,DB00921,NA
Cytochrome P450 3A7,Substrate,CYP3A7,Oxygen binding,Protein,57525.03 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P24462,Cytochrome P450 3A7,Buprenorphine,DB00921,NA
UDP-glucuronosyltransferase 1-9,Substrate,UGT1A9,Retinoic acid binding,Protein,59940.495 Da,Humans,Unknown,UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. This isoform has specificity for phenols. Isoform 2 lacks trans...,O60656,UDP-glucuronosyltransferase 1-9,Buprenorphine,DB00921,NA
Cytochrome P450 2D6,SubstrateInhibitor,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,Unknown,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Buprenorphine,DB00921,NA
Cytochrome P450 2C18,Substrate,CYP2C18,Steroid hydroxylase activity,Protein,55710.075 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P33260,Cytochrome P450 2C18,Buprenorphine,DB00921,NA
Cytochrome P450 2C19,Inhibitor,CYP2C19,Steroid hydroxylase activity,Protein,55930.545 Da,Humans,Unknown,"Responsible for the metabolism of a number of therapeutic agents such as the anticonvulsant drug S-mephenytoin, omeprazole, proguanil, certain barbiturates, diazepam, propranolol, citalopram and im...",P33261,Cytochrome P450 2C19,Buprenorphine,DB00921,NA
UDP-glucuronosyltransferase 1-1,Substrate,UGT1A1,Steroid binding,Protein,59590.91 Da,Humans,No,UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. This isoform glucuronidates bilirubin IX-alpha to form both the...,P22309,UDP-glucuronosyltransferase 1-1,Buprenorphine,DB00921,NA
UDP-glucuronosyltransferase 2B7,Substrate,UGT2B7,Glucuronosyltransferase activity,Protein,60694.12 Da,Humans,No,"UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds.Its unique specificity for 3,4-catechol estrogens and estriol su...",P16662,UDP-glucuronosyltransferase 2B7,Nalmefene,DB06230,NA
UDP-glucuronosyltransferase 1-3,Substrate,UGT1A3,Retinoic acid binding,Protein,60337.835 Da,Humans,No,UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. Isoform 2 lacks transferase activity but acts as a negative reg...,P35503,UDP-glucuronosyltransferase 1-3,Nalmefene,DB06230,NA
UDP-glucuronosyltransferase 1-8,Substrate,UGT1A8,Steroid binding,Protein,59741.035 Da,Humans,No,UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. Isoform 2 lacks transferase activity but acts as a negative reg...,Q9HAW9,UDP-glucuronosyltransferase 1-8,Nalmefene,DB06230,NA
Cytochrome P450 3A4,Inhibitor,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Naloxone,DB01183,NA
UDP-glucuronosyltransferase 1-1,Substrate,UGT1A1,Steroid binding,Protein,59590.91 Da,Humans,No,UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. This isoform glucuronidates bilirubin IX-alpha to form both the...,P22309,UDP-glucuronosyltransferase 1-1,Naloxone,DB01183,NA
UDP-glucuronosyltransferase 1-1,Substrate,UGT1A1,Steroid binding,Protein,59590.91 Da,Humans,Unknown,UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. This isoform glucuronidates bilirubin IX-alpha to form both the...,P22309,UDP-glucuronosyltransferase 1-1,Naltrexone,DB00704,NA
Cytochrome P450 2C19,Substrate,CYP2C19,Steroid hydroxylase activity,Protein,55930.545 Da,Humans,Unknown,"Responsible for the metabolism of a number of therapeutic agents such as the anticonvulsant drug S-mephenytoin, omeprazole, proguanil, certain barbiturates, diazepam, propranolol, citalopram and im...",P33261,Cytochrome P450 2C19,Flunitrazepam,DB01544,NA
UDP-glucuronosyltransferase 2B7,Inhibitor,UGT2B7,Glucuronosyltransferase activity,Protein,60694.12 Da,Humans,Unknown,"UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds.Its unique specificity for 3,4-catechol estrogens and estriol su...",P16662,UDP-glucuronosyltransferase 2B7,Flunitrazepam,DB01544,NA
Cytochrome P450 2A6,Substrate,CYP2A6,Steroid hydroxylase activity,Protein,56501.005 Da,Humans,Unknown,Exhibits a high coumarin 7-hydroxylase activity. Can act in the hydroxylation of the anti-cancer drugs cyclophosphamide and ifosphamide. Competent in the metabolic activation of aflatoxin B1. Const...,P11509,Cytochrome P450 2A6,Flunitrazepam,DB01544,NA
Cytochrome P450 2B6,Substrate,CYP2B6,Steroid hydroxylase activity,Protein,56277.81 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P20813,Cytochrome P450 2B6,Flunitrazepam,DB01544,NA
Cytochrome P450 2C9,Substrate,CYP2C9,Steroid hydroxylase activity,Protein,55627.365 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P11712,Cytochrome P450 2C9,Flunitrazepam,DB01544,NA
Cytochrome P450 3A4,Substrate,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Flunitrazepam,DB01544,NA
Cytochrome P450 2E1,Inhibitor,CYP2E1,Steroid hydroxylase activity,Protein,56848.42 Da,Humans,Unknown,"Metabolizes several precarcinogens, drugs, and solvents to reactive metabolites. Inactivates a number of drugs and xenobiotics and also bioactivates many xenobiotic substrates to their hepatotoxic ...",P05181,Cytochrome P450 2E1,Flunitrazepam,DB01544,NA
UDP-glucuronosyltransferase 1-1,Inhibitor,UGT1A1,Steroid binding,Protein,59590.91 Da,Humans,Unknown,UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. This isoform glucuronidates bilirubin IX-alpha to form both the...,P22309,UDP-glucuronosyltransferase 1-1,Flunitrazepam,DB01544,NA
UDP-glucuronosyltransferase 1-3,Inhibitor,UGT1A3,Retinoic acid binding,Protein,60337.835 Da,Humans,Unknown,UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. Isoform 2 lacks transferase activity but acts as a negative reg...,P35503,UDP-glucuronosyltransferase 1-3,Flunitrazepam,DB01544,NA
Cytochrome P450 2D6,SubstrateInhibitor,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,Unknown,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Nortriptyline,DB00540,NA
Cytochrome P450 3A4,Substrate,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Nortriptyline,DB00540,NA
Cytochrome P450 1A2,Substrate,CYP1A2,"Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",Protein,58293.76 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P05177,Cytochrome P450 1A2,Nortriptyline,DB00540,NA
Cytochrome P450 2C19,Substrate,CYP2C19,Steroid hydroxylase activity,Protein,55930.545 Da,Humans,Unknown,"Responsible for the metabolism of a number of therapeutic agents such as the anticonvulsant drug S-mephenytoin, omeprazole, proguanil, certain barbiturates, diazepam, propranolol, citalopram and im...",P33261,Cytochrome P450 2C19,Nortriptyline,DB00540,NA
Cytochrome P450 3A5,Substrate,CYP3A5,Oxygen binding,Protein,57108.065 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P20815,Cytochrome P450 3A5,Nortriptyline,DB00540,NA
Prostaglandin G/H synthase 1,Substrate,PTGS1,Prostaglandin-endoperoxide synthase activity,Protein,68685.82 Da,Humans,Unknown,"Converts arachidonate to prostaglandin H2 (PGH2), a committed step in prostanoid synthesis. Involved in the constitutive production of prostanoids in particular in the stomach and platelets. In gas...",P23219,Prostaglandin G/H synthase 1,Nortriptyline,DB00540,NA
Cytochrome P450 2E1,Inhibitor,CYP2E1,Steroid hydroxylase activity,Protein,56848.42 Da,Humans,Unknown,"Metabolizes several precarcinogens, drugs, and solvents to reactive metabolites. Inactivates a number of drugs and xenobiotics and also bioactivates many xenobiotic substrates to their hepatotoxic ...",P05181,Cytochrome P450 2E1,Nortriptyline,DB00540,Information regarding this enzyme action in the literature is limited to one in vitro study. Clinical correlation is unknown.
Cytochrome P450 1A2,Substrate,CYP1A2,"Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",Protein,58293.76 Da,Humans,No,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P05177,Cytochrome P450 1A2,Olanzapine,DB00334,NA
Cytochrome P450 2D6,SubstrateInhibitor,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,No,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Olanzapine,DB00334,NA
Dimethylaniline monooxygenase [N-oxide-forming] 3,Substrate,FMO3,Trimethylamine monooxygenase activity,Protein,60032.975 Da,Humans,Unknown,Involved in the oxidative metabolism of a variety of xenobiotics such as drugs and pesticides. It N-oxygenates primary aliphatic alkylamines as well as secondary and tertiary amines. Plays an impor...,P31513,Dimethylaniline monooxygenase [N-oxide-forming] 3,Olanzapine,DB00334,NA
Cytochrome P450 2C19,Inhibitor,CYP2C19,Steroid hydroxylase activity,Protein,55930.545 Da,Humans,Unknown,"Responsible for the metabolism of a number of therapeutic agents such as the anticonvulsant drug S-mephenytoin, omeprazole, proguanil, certain barbiturates, diazepam, propranolol, citalopram and im...",P33261,Cytochrome P450 2C19,Olanzapine,DB00334,"Current data regarding this enzyme inhibition is limited to in vitro studies, which is also indicated on the FDA label."
Cytochrome P450 2C9,Inhibitor,CYP2C9,Steroid hydroxylase activity,Protein,55627.365 Da,Humans,No,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P11712,Cytochrome P450 2C9,Olanzapine,DB00334,NA
UDP-glucuronosyltransferase 1-4,Substrate,UGT1A4,Protein homodimerization activity,Protein,60024.535 Da,Humans,No,UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. This isoform glucuronidates bilirubin IX-alpha to form both the...,P22310,UDP-glucuronosyltransferase 1-4,Olanzapine,DB00334,NA
